id,text,month,year
R_6zJ0EDwLspwQnD3,that the motor of ford territory are chinese and all the old models had problems with the direction,Aug,2024
R_3FXgWiMoakGy5sB,No,Aug,2024
R_1F68rE1oHqhQwSd,New electric Ford,Aug,2024
R_6W4HiDLHZBgIGSl,How ford is built to last,Aug,2024
R_3lRpDKDmpK3gIYq,I saw a television advertisement showing trucks in the wilderness.,Aug,2024
R_6LYlIYFjJwhAQtS,Good vehicle,Aug,2024
R_1imMH42xvFezI6j,no,Aug,2024
R_37dLaaIFJ0BpWGd,There new trucks,Aug,2024
R_57kfmHJIXnrnxKh,New vehicles,Aug,2024
R_3Lxu2j5LG6EAjnj,How they plan on making a electric car one day,Aug,2024
R_7XbB2jwDNUgCyfa,About trying to make their vehicles safer for the American consumer,Aug,2024
R_7f0Breetu2PEXF0,That it is striving for excellence,Aug,2024
R_7tf1CymZFsmB5zF,About there new evs,Aug,2024
R_1hFJ2QOqaZU3gh5,I read about Ford mustangs,Aug,2024
R_1QnD8O2FtX7M1TC,Tecnología,Aug,2024
R_6IafN6J41ERS50X,new truck,Aug,2024
R_5SpnFLc0KpfygXj,Nothing important,Aug,2024
R_1sXWMsCQIx1jYHa,N/A,Aug,2024
R_6r0WZ1ebNlk1Kal,I am feeling good.,Aug,2024
R_1PbmRuVT244ebS1,A quick advertisement for a newer model for sale,Aug,2024
R_7Siy77nw8FRArUQ,About new cars there making,Aug,2024
R_3CZ0SHnD12oK3Mc,Google,Aug,2024
R_7repVrk7GjhVkSK,Ford commercial  always pops up as a youtube add,Aug,2024
R_5lREPMuybwZACGJ,Because i seen dealership,Aug,2024
R_3rYRh9fZ5WgReF0,A loving story of a man helping a woman out with his ford f150 anf got her unstuck,Aug,2024
R_5L8965c1oLZ7jfq,New cars being released in 2025,Aug,2024
R_3PWtiRgRw9OZ3ot,New car,Aug,2024
R_70uVKza4SwNX5Tq,The overall quality is great,Aug,2024
R_5LNYeRui1C9IliN,New truck about to be released,Aug,2024
R_5QWCFbTCWD4aoHM,about a new truck being relesed,Aug,2024
R_1a8rFJaV5gP2UmA,Goid news.,Aug,2024
R_1Ops4P0RaLyo6oF,advertising about the new teritory walk,Aug,2024
R_6cwZMgtohZhbTi1,An article explaining new safety measures they incorporated into their vehicles that prevent car thefts. I forget the technology but it intrigued me as I spoke with friends who had their vehicles stolen some days prior.,Aug,2024
R_3IblA0tLdIXYPAM,Just an ad,Aug,2024
R_3D80FopjY58w8Wn,They are having major deals on cars,Aug,2024
R_6jZiDpE0FWHDueZ,I don’t remember,Aug,2024
R_3IZ6COQt2KHByjs,"Theyre losing much money on EVs, and have had many problems with expensive recalls.",Aug,2024
R_58wBD29peEmzngd,About a sale on all their new EV’s.,Aug,2024
R_6FRpnpC55Y3S9oV,That they were trying to change certain aspects of the company to make it more efficient.,Aug,2024
R_5qb1XaMc2cEqLtv,The new square body design on the aluminum body design on the truck series.,Aug,2024
R_7iQR7nKqrkZM67T,Advertising new trucks,Aug,2024
R_8gut0zutTkL0ZAd,Ads,Aug,2024
R_16IfXfzVm4zJTqx,They are coming out with electric car,Aug,2024
R_5vSgLJEaYSX2GgF,Their expanding,Aug,2024
R_7yOTkYmPMzTKokV,it was an advertisement for their e-truck,Aug,2024
R_4jOrGTHNWxUmaUX,Yes very good its very like,Aug,2024
R_3RLsTSOxBmzAxRD,Something about recalls on air bags,Aug,2024
R_80uZ8rQqQ8kNATW,"Newest car, driving in snowy terrain.",Aug,2024
R_61XjfTPWl3QUpOS,very well,Aug,2024
R_5KJgk7ND2L72449,No,Aug,2024
R_62masyXiuEX8QEH,It was about their end of sale,Aug,2024
R_3UKWi2UG9Os2rD3,A new bronco,Aug,2024
R_1bH48UjYSrSkACw,It is very unique,Aug,2024
R_6uVEd4jA5YH4xvj,I dont think they put the money on the phone with these,Aug,2024
R_12ssC6g24VRVfc5,Airbag recall,Aug,2024
R_1fp6yPKrXoTIn9I,I read that Lincoln was a reliable vehicle.,Aug,2024
R_6dS6GK85e4VwsW5,They bought the factory,Aug,2024
R_2Ke3P8D92xUUjf3,Selection of new model vehicles,Aug,2024
R_64AAeXa04Iowrh7,That they are top lead car company,Aug,2024
R_6vZTRZTZQyFbPSV,I heard ford is rolling out a new line of more affordable vehicles for damilies,Aug,2024
R_7CxADqFmcuI9H4R,I heard that the creator is racist,Aug,2024
R_1Vr85qAekGk7FQY,It’s about the new features in the new models,Aug,2024
R_1P52Lb9VxWCyQNB,There newest Sedan that is coming out,Aug,2024
R_6UKLd2kBhZHCZwZ,Ford is required by federal law to make more electric vehicles.,Aug,2024
R_5jp4oD3IffVPFyc,they are hiring more people,Aug,2024
R_5YLprM6l9NtVkaJ,Very reliable,Aug,2024
R_5k7NmuIZi1iy8Df,Nothing comes to mind,Aug,2024
R_3d6NgzydnReMm3d,Don’t remember,Aug,2024
R_7En5Pnj6kMhMf60,just they are doing good.,Aug,2024
R_7cS0fSZVczP93ep,It good,Aug,2024
R_6fUiMfNQGOcoaZH,That the technology is approving,Aug,2024
R_6P7NUla4U7w4Egi,Nascar,Aug,2024
R_7QgFWVGI4h86Md9,It was about how good it was and their newest vehicle,Aug,2024
R_7odwPvAJEck1kci,"Ford is creating a new vehicle designed for law enforcement, coming out in 2025.",Aug,2024
R_79nUyXE0V1WdiSw,New truck,Aug,2024
R_5PuiBH6XMPIaUep,"No, i dont remember",Aug,2024
R_3pLwsDz562xzvcZ,Upcoming new vehicles,Aug,2024
R_6Xvd0Dle9NRLjlT,the only way i could be happy with the fact i can be a good friend is,Aug,2024
R_1wKybXgFyHxB72V,The accurate of the company,Aug,2024
R_5gZLyc0k7FWuEMQ,I have read Ford is opening new factories.,Aug,2024
R_5EKEGvgpdbpq0B9,Broadcst TV,Aug,2024
R_3L08IOkTBZszS6Q,Recalls,Aug,2024
R_7CjtekWx3UgBvrX,"Safety, technology, durability",Aug,2024
R_7rLPlc0p1JFxJKh,About their new lineup of vehicles that is coming out,Aug,2024
R_6nCY5c1j1ZGUX9S,that it was exapanding,Aug,2024
R_3t9fVWP70zFU9iP,It has a good fit for motor that make a good fit because it ba sa good fit to make an s good offers to use their services to fit,Aug,2024
R_1n0P0NNv5Ijvesp,Great,Aug,2024
R_3P3eupNFhLpNxFT,No trucks out,Aug,2024
R_3xPUgaWXhF2HQCB,Something about a union,Aug,2024
